id_projet,titre,description,domaine,filiere_etudiant,methodologie,score_similarite_existants,nb_mots_titre,nb_mots_description,nb_phrases_description,ratio_vocabulaire,score_mots_academiques,score_mots_techniques,score_mots_vagues,a_methodologie,a_objectifs_clairs,est_infaisable,decision
PRJ-0495,Recherche sur internet,Je vais chercher des informations sur internet sur plusieurs sujets informatiques et faire un rsum de ce que j'ai trouv.,Systmes Embarqus,Cyberscurit,Prototypage,0.574,3,20,2,0.95,0,0,3,0,0,0,REJETE
PRJ-0514,Copie du systme bancaire,Reproduire exactement le systme de la banque Ecobank avec toutes ses fonctionnalits en 2 mois.,Cloud / DevOps,Gnie Informatique,Recherche applique,0.883,4,15,2,1.0,1,0,1,0,0,1,REJETE
PRJ-0044,Dveloppement d'une application mobile de tlmdecine pour les zones rurales togolaises,"Cette tude propose le dveloppement d'une application Android permettant aux patients des zones rurales d'accder  des consultations mdicales  distance. L'application intgre un module de golocalisation des centres de sant, un systme de prise de rendez-vous et un dossier mdical numrique simplifi.",Dveloppement Web,Gnie Informatique,Recherche exprimentale,0.031,11,41,3,0.829,2,1,0,0,0,0,APPROUVE
PRJ-0158,Dveloppement d'une application mobile de tlmdecine pour les zones rurales togolaises,"Cette tude propose le dveloppement d'une application Android permettant aux patients des zones rurales d'accder  des consultations mdicales  distance. L'application intgre un module de golocalisation des centres de sant, un systme de prise de rendez-vous et un dossier mdical numrique simplifi.",Cyberscurit,Systmes Embarqus,Recherche exprimentale,0.206,11,41,3,0.829,2,1,0,0,0,0,APPROUVE
PRJ-0515,tude de tout ce qui concerne les rseaux,Ce mmoire va couvrir tous les aspects des rseaux informatiques depuis les dbuts jusqu' aujourd'hui.,Rseaux,Rseaux et Tlcommunications,Prototypage,0.605,8,15,2,0.933,0,0,0,0,1,1,REJETE
PRJ-0295,tude sur la scurit des rseaux wifi v4,Ce projet parle de la scurit wifi. On va voir comment scuriser un rseau wifi et quels sont les problmes qui existent avec les rseaux sans fil dans les entreprises.,Systmes Embarqus,Rseaux et Tlcommunications,Prototypage,0.574,8,30,3,0.933,1,0,0,0,0,0,REJETE
PRJ-0338,Mise en place d'un rseau local pour une entreprise,"Ce projet va mettre en place un rseau local pour une petite entreprise. On va choisir les quipements, configurer les switches et les routeurs, et tester la connectivit.",Mobile,Data Science,Recherche applique,0.616,9,28,3,0.857,1,0,0,0,0,0,REJETE
PRJ-0148,Conception d'un entrept de donnes pour le suivi pidmiologique au Ministre de la Sant,"Ce projet vise  concevoir un data warehouse selon la modlisation en toile pour centraliser les donnes pidmiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le dploiement sous PostgreSQL et la cration de rapports analytiques sur Power BI.",Dveloppement Web,Rseaux et Tlcommunications,Dveloppement logiciel (SCRUM),0.249,14,40,3,0.925,2,1,0,0,1,0,APPROUVE
PRJ-0350,Mise en place d'un rseau local pour une entreprise,"Ce projet va mettre en place un rseau local pour une petite entreprise. On va choisir les quipements, configurer les switches et les routeurs, et tester la connectivit.",Mobile,Gnie Informatique,Dveloppement logiciel (SCRUM),0.423,9,28,3,0.857,1,0,0,0,0,0,REJETE
PRJ-0224,Implmentation d'un SIEM open source pour la dtection d'intrusions en entreprise,Ce travail consiste  dployer et configurer un SIEM bas sur Wazuh/ELK Stack pour centraliser la gestion des logs et dtecter les intrusions dans une PME locale. Il inclut la dfinition des rgles de corrlation et les procdures de rponse aux incidents.,Bases de donnes,Gnie Informatique,Recherche applique,0.146,11,41,3,0.854,1,0,0,0,1,0,REVISION_NECESSAIRE
PRJ-0519,Faire un jeu vido,Je veux faire un jeu. Ce sera amusant.,Cyberscurit,Gnie Logiciel,Recherche exprimentale,0.885,4,8,3,1.0,0,0,1,0,0,0,REJETE
