id_projet,titre,description,domaine,filiere_etudiant,methodologie,score_similarite_existants,nb_mots_titre,nb_mots_description,nb_phrases_description,ratio_vocabulaire,score_mots_academiques,score_mots_techniques,score_mots_vagues,a_methodologie,a_objectifs_clairs,est_infaisable,decision
PRJ-0495,Recherche sur internet,Je vais chercher des informations sur internet sur plusieurs sujets informatiques et faire un résumé de ce que j'ai trouvé.,Systèmes Embarqués,Cybersécurité,Prototypage,0.574,3,20,2,0.95,0,0,3,0,0,0,REJETE
PRJ-0514,Copie du système bancaire,Reproduire exactement le système de la banque Ecobank avec toutes ses fonctionnalités en 2 mois.,Cloud / DevOps,Génie Informatique,Recherche appliquée,0.883,4,15,2,1.0,1,0,1,0,0,1,REJETE
PRJ-0044,Développement d'une application mobile de télémédecine pour les zones rurales togolaises,"Cette étude propose le développement d'une application Android permettant aux patients des zones rurales d'accéder à des consultations médicales à distance. L'application intègre un module de géolocalisation des centres de santé, un système de prise de rendez-vous et un dossier médical numérique simplifié.",Développement Web,Génie Informatique,Recherche expérimentale,0.031,11,43,3,0.814,2,1,0,0,0,0,APPROUVE
PRJ-0158,Développement d'une application mobile de télémédecine pour les zones rurales togolaises,"Cette étude propose le développement d'une application Android permettant aux patients des zones rurales d'accéder à des consultations médicales à distance. L'application intègre un module de géolocalisation des centres de santé, un système de prise de rendez-vous et un dossier médical numérique simplifié.",Cybersécurité,Systèmes Embarqués,Recherche expérimentale,0.206,11,43,3,0.814,2,1,0,0,0,0,APPROUVE
PRJ-0515,Étude de tout ce qui concerne les réseaux,Ce mémoire va couvrir tous les aspects des réseaux informatiques depuis les débuts jusqu'à aujourd'hui.,Réseaux,Réseaux et Télécommunications,Prototypage,0.605,8,15,2,0.933,0,0,0,0,1,1,REJETE
PRJ-0295,Étude sur la sécurité des réseaux wifi v4,Ce projet parle de la sécurité wifi. On va voir comment sécuriser un réseau wifi et quels sont les problèmes qui existent avec les réseaux sans fil dans les entreprises.,Systèmes Embarqués,Réseaux et Télécommunications,Prototypage,0.574,8,30,3,0.933,1,0,0,0,0,0,REJETE
PRJ-0338,Mise en place d'un réseau local pour une entreprise,"Ce projet va mettre en place un réseau local pour une petite entreprise. On va choisir les équipements, configurer les switches et les routeurs, et tester la connectivité.",Mobile,Data Science,Recherche appliquée,0.616,9,28,3,0.857,1,0,0,0,0,0,REJETE
PRJ-0148,Conception d'un entrepôt de données pour le suivi épidémiologique au Ministère de la Santé,"Ce projet vise à concevoir un data warehouse selon la modélisation en étoile pour centraliser les données épidémiologiques nationales. Il inclut la mise en place d'un pipeline ETL, le déploiement sous PostgreSQL et la création de rapports analytiques sur Power BI.",Développement Web,Réseaux et Télécommunications,Développement logiciel (SCRUM),0.249,14,41,3,0.927,2,1,0,0,1,0,APPROUVE
PRJ-0350,Mise en place d'un réseau local pour une entreprise,"Ce projet va mettre en place un réseau local pour une petite entreprise. On va choisir les équipements, configurer les switches et les routeurs, et tester la connectivité.",Mobile,Génie Informatique,Développement logiciel (SCRUM),0.423,9,28,3,0.857,1,0,0,0,0,0,REJETE
PRJ-0224,Implémentation d'un SIEM open source pour la détection d'intrusions en entreprise,Ce travail consiste à déployer et configurer un SIEM basé sur Wazuh/ELK Stack pour centraliser la gestion des logs et détecter les intrusions dans une PME locale. Il inclut la définition des règles de corrélation et les procédures de réponse aux incidents.,Bases de données,Génie Informatique,Recherche appliquée,0.146,11,42,3,0.857,1,0,0,0,1,0,REVISION_NECESSAIRE
PRJ-0519,Faire un jeu vidéo,Je veux faire un jeu. Ce sera amusant.,Cybersécurité,Génie Logiciel,Recherche expérimentale,0.885,4,8,3,1.0,0,0,1,0,0,0,REJETE
PRJ-0273,Application de chat en temps réel,Ce projet vise à créer une application de messagerie instantanée. Les utilisateurs pourront envoyer des messages en temps réel. On utilisera des websockets pour la communication.,Bases de données,Data Science,Développement logiciel (SCRUM),0.744,6,26,4,0.962,0,0,0,0,1,0,REJETE
PRJ-0415,Application de chat en temps réel v4,Ce projet vise à créer une application de messagerie instantanée. Les utilisateurs pourront envoyer des messages en temps réel. On utilisera des websockets pour la communication.,Développement Web,Data Science,Recherche appliquée,0.466,7,26,4,0.962,0,0,0,0,1,0,REJETE
PRJ-0534,Projet sur la blockchain,La blockchain c'est bien. Je vais faire quelque chose avec la blockchain.,Réseaux,Réseaux et Télécommunications,Développement logiciel (SCRUM),0.845,4,12,3,0.917,0,1,1,0,0,0,REJETE
PRJ-0276,Développement d'une application Android pour les transports,On va développer une application Android pour les transports en commun. L'application montrera les horaires et les itinéraires disponibles dans la ville.,Bases de données,Data Science,Prototypage,0.303,7,22,3,0.909,1,1,0,0,0,0,REJETE
PRJ-0345,Application pour gérer les notes des étudiants,Je veux faire une application pour gérer les notes. Elle permettra d'entrer les notes et de calculer les moyennes. Ce sera utile pour les professeurs.,Réseaux,Réseaux et Télécommunications,Prototypage,0.635,7,25,4,0.84,0,0,0,0,0,0,REJETE
PRJ-0398,Création d'un site web pour une école,"Le projet consiste à créer un site web pour une école. Le site aura des pages pour présenter l'école, les cours et les professeurs. Il y aura aussi un espace pour les étudiants.",Systèmes Embarqués,Cybersécurité,Développement logiciel (SCRUM),0.665,7,33,4,0.758,0,0,0,0,1,0,REJETE
PRJ-0159,Développement d'une application mobile de télémédecine pour les zones rurales togolaises,"Cette étude propose le développement d'une application Android permettant aux patients des zones rurales d'accéder à des consultations médicales à distance. L'application intègre un module de géolocalisation des centres de santé, un système de prise de rendez-vous et un dossier médical numérique simplifié.",Systèmes Embarqués,Cybersécurité,Étude de cas,0.436,11,43,3,0.814,2,1,0,0,0,0,REVISION_NECESSAIRE
PRJ-0591,Projet sur la blockchain,La blockchain c'est bien. Je vais faire quelque chose avec la blockchain.,IA / Machine Learning,Réseaux et Télécommunications,Recherche appliquée,0.791,4,12,3,0.917,0,1,1,0,0,0,REJETE
PRJ-0160,Développement d'une application mobile de télémédecine pour les zones rurales togolaises,"Cette étude propose le développement d'une application Android permettant aux patients des zones rurales d'accéder à des consultations médicales à distance. L'application intègre un module de géolocalisation des centres de santé, un système de prise de rendez-vous et un dossier médical numérique simplifié.",Cloud / DevOps,Data Science,Étude de cas,0.384,11,43,3,0.814,2,1,0,0,0,0,APPROUVE
PRJ-0422,Création d'un site web pour une école,"Le projet consiste à créer un site web pour une école. Le site aura des pages pour présenter l'école, les cours et les professeurs. Il y aura aussi un espace pour les étudiants.",Bases de données,Génie Informatique,Recherche expérimentale,0.503,7,33,4,0.758,0,0,0,0,1,0,REJETE
PRJ-0531,Faire un jeu vidéo,Je veux faire un jeu. Ce sera amusant.,Systèmes Embarqués,Systèmes Embarqués,Prototypage,0.852,4,8,3,1.0,0,0,1,0,0,0,REJETE
PRJ-0450,Application pour gérer les notes des étudiants,Je veux faire une application pour gérer les notes. Elle permettra d'entrer les notes et de calculer les moyennes. Ce sera utile pour les professeurs.,IA / Machine Learning,Data Science,Recherche expérimentale,0.321,7,25,4,0.84,0,0,0,0,0,0,REJETE
