id_etudiant,filiere,niveau,moyenne_generale,note_algorithmique,note_poo,note_génie_logiciel,note_bdd,note_architecture,note_ia,note_web,note_réseaux,note_tcp/ip,note_sécurité_réseau,note_administration_linux,note_télécoms,note_statistiques,note_python,note_big_data,note_visualisation,note_électronique,note_programmation_c,note_microcontrôleurs,note_fpga,note_temps_réel,note_cryptographie,note_forensics,note_pentesting,note_osint,note_mobile,note_cloud,competences,interets,sujet_choisi,domaine_cible
ETU-0001,Génie Informatique,Licence 3,12.99,8.3,0.0,0.0,11.3,0.0,16.8,16.1,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,9.0,scikit-learn|TensorFlow|Pandas|MongoDB|MySQL|Kotlin,data science|analyse|électronique|infrastructure,Classification automatique des documents administratifs par NLP,IA / Machine Learning
ETU-0002,Génie Logiciel,Licence 3,11.39,12.6,12.3,12.1,11.2,8.5,13.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pandas|Raspberry Pi|Linux|Kubernetes|Pentesting|VHDL,statistiques|automatisation,Analyse de sentiment des réseaux sociaux pour les élections africaines,IA / Machine Learning
ETU-0003,Data Science,Master 1,13.68,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,10.5,19.2,15.8,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FastAPI|Flutter|Cryptographie|Cisco,infrastructure|protection des données|recherche|automatisation,Reconnaissance vocale pour les langues locales africaines,IA / Machine Learning
ETU-0004,Réseaux et Télécommunications,Master 1,14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,16.9,14.5,17.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pentesting|MySQL|Node.js|Kotlin|Swift|Pandas,e-commerce|applications web,Application mobile de paiement via mobile money pour petits commerçants,Mobile
ETU-0005,Génie Informatique,Master 2,13.67,9.4,0.0,0.0,18.6,0.0,17.2,12.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,9.9,Redis|Kotlin|HTML/CSS,design UI|hacking éthique|infrastructure|analyse,Application web de gestion des ressources humaines pour PME,Développement Web
ETU-0006,Data Science,Licence 3,13.03,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,8.7,19.4,9.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Node.js|Terraform|React Native|Raspberry Pi,protocoles|déploiement,Classification automatique des documents administratifs par NLP,IA / Machine Learning
ETU-0007,Systèmes Embarqués,Master 2,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,11.0,8.8,8.3,14.6,0.0,0.0,0.0,0.0,0.0,0.0,Python|Deep Learning|AWS|NLP,statistiques|automatisation,Reconnaissance vocale pour les langues locales africaines,IA / Machine Learning
ETU-0008,Réseaux et Télécommunications,Master 1,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10.3,9.2,13.2,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NLP|CI/CD|React|Terraform|OWASP|Wireshark,télécommunications|analyse,Simulation d'un réseau de capteurs IoT pour smart city,Réseaux
ETU-0009,Génie Logiciel,Licence 3,12.61,15.8,14.5,8.2,9.1,17.0,10.8,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MongoDB|OWASP|NLP|FastAPI|Cryptographie|Python,protocoles|systèmes temps réel|sécurité informatique,Système de recommandation de cours en ligne par apprentissage automatique,IA / Machine Learning
ETU-0010,Génie Informatique,Master 1,13.47,8.7,0.0,0.0,15.0,0.0,18.2,9.9,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,9.0,Deep Learning|Docker|ElasticSearch|OWASP,télécommunications|automatisation,Système de détection de fraude bancaire par deep learning,IA / Machine Learning
ETU-0011,Réseaux et Télécommunications,Master 2,15.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,13.5,19.1,19.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deep Learning|Arduino|MongoDB,protocoles|startup|applications mobiles|statistiques,Déploiement d'un réseau LAN sécurisé pour établissement scolaire,Réseaux
ETU-0012,Génie Informatique,Master 2,12.83,11.6,0.0,0.0,16.0,0.0,9.6,9.4,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,14.6,Linux|Docker|MongoDB|Wireshark|AWS,infrastructure|automatisation|protocoles,Architecture microservices avec Docker et Kubernetes,Cloud / DevOps
ETU-0013,Réseaux et Télécommunications,Master 2,14.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,16.5,14.7,9.3,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arduino|scikit-learn|Pentesting|Assembleur,applications web|robotique|startup|automatisation,Robot de désinfection automatique pour établissements de santé,Systèmes
ETU-0014,Systèmes Embarqués,Master 2,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.1,10.8,10.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,Forensics|TensorFlow|HTML/CSS|Wireshark,télécommunications|administration réseau|gestion des données,Mise en place d'un réseau WiFi municipal à faible coût,Réseaux
ETU-0015,Réseaux et Télécommunications,Licence 3,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,12.8,11.3,8.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CI/CD|Kotlin|OWASP|Arduino|Wireshark,e-commerce|protocoles,Simulation d'un réseau de capteurs IoT pour smart city,Réseaux
ETU-0016,Génie Logiciel,Master 1,14.13,18.8,10.3,8.5,13.2,14.2,17.7,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pentesting|Kali Linux|Deep Learning|Terraform,protection des données|e-commerce|hacking éthique,Mise en place d'un SIEM pour la détection des intrusions,Cybersécurité
ETU-0017,Cybersécurité,Master 2,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,8.0,11.4,13.2,0.0,0.0,Flutter|Android|MongoDB|Kotlin|React Native,gestion des données|développement web|sécurité informatique|infrastructure,Application mobile de paiement via mobile money pour petits commerçants,Mobile
ETU-0018,Réseaux et Télécommunications,Master 1,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,17.2,13.5,18.6,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Swift|OWASP|ElasticSearch|Django|Python|React,infrastructure|performance|déploiement,Étude et déploiement de la fibre optique dans une université,Réseaux
ETU-0019,Systèmes Embarqués,Master 2,16.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,18.7,13.1,18.9,13.4,0.0,0.0,0.0,0.0,0.0,0.0,React Native|Android|Redis|ElasticSearch,administration réseau|déploiement|automatisation|télécommunications,Conception d'un système d'irrigation automatique intelligent,Systèmes
ETU-0020,Génie Informatique,Licence 3,13.09,8.8,0.0,0.0,12.9,0.0,13.0,10.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.9,VHDL|Cryptographie|React Native,applications mobiles|hacking éthique,Système de géolocalisation des transports en commun à Lomé,Mobile
ETU-0021,Data Science,Master 1,15.82,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,13.8,16.0,17.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kubernetes|Arduino|TensorFlow|OWASP,data science|développement web|robotique|startup,Système de détection de fraude bancaire par deep learning,IA / Machine Learning
ETU-0022,Data Science,Licence 3,13.02,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,8.6,19.4,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TensorFlow|ElasticSearch|PostgreSQL,applications web|télécommunications,Détection des maladies agricoles par vision par ordinateur,IA / Machine Learning
ETU-0023,Réseaux et Télécommunications,Master 1,12.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,8.3,11.7,16.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PostgreSQL|Deep Learning|Assembleur|ElasticSearch|React|TCP/IP,e-commerce|automatisation|applications mobiles|robotique,Optimisation de la qualité de service dans les réseaux mobiles 4G,Réseaux
ETU-0024,Génie Informatique,Licence 3,15.26,13.2,0.0,0.0,16.8,0.0,11.2,17.7,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,13.8,Assembleur|Cisco|VPN|ElasticSearch|Pandas|CI/CD,télécommunications|systèmes temps réel|fintech,Étude et déploiement de la fibre optique dans une université,Réseaux
ETU-0025,Cybersécurité,Licence 3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,10.9,12.9,14.7,0.0,0.0,React Native|CI/CD|Swift|Android,développement web|sécurité informatique,Application de suivi de grossesse pour zones rurales,Mobile
ETU-0026,Data Science,Master 2,13.55,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,13.4,10.8,16.7,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PostgreSQL|MongoDB|React Native|Cisco,déploiement|sécurité informatique|design UI|analyse,Optimisation des requêtes dans les systèmes de gestion hospitalière,Bases de données
ETU-0027,Génie Informatique,Master 1,12.16,9.2,0.0,0.0,8.1,0.0,13.7,12.1,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,11.0,Vue.js|Deep Learning|OWASP|Swift|CI/CD|VHDL,recherche|applications web|hacking éthique|développement web,Reconnaissance vocale pour les langues locales africaines,IA / Machine Learning
ETU-0028,Data Science,Master 2,16.45,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,19.9,15.5,15.3,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AWS|MongoDB|Redis|Terraform,gestion des données|télécommunications,Système d'archivage intelligent des actes d'état civil,Bases de données
ETU-0029,Génie Logiciel,Master 2,13.14,10.8,11.2,17.5,15.1,17.6,10.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CI/CD|Django|Cisco|Deep Learning,gestion des données|hacking éthique,Système de gestion des bourses universitaires en ligne,Développement Web
ETU-0030,Systèmes Embarqués,Master 1,10.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.5,13.2,11.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,MySQL|VHDL|Assembleur,administration réseau|automatisation,Système embarqué de surveillance de la qualité de l'air,Systèmes
