id_memoire,titre,domaine,annee,auteur,introduction,methodologie,resultats,conclusion,texte_complet
ARCH-0001,Un système de contrôle d'accès biométrique avec React et FastAPI,IA,2018,Etudiant_0001,"Dans le cadre de ce mémoire, nous proposons un système de contrôle d'accès biométrique. Face à la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est le prototypage rapide et l'itération continue.",La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs.,"Les expérimentations confirment la viabilité de notre approche avec 83% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 36% sur les métriques clés. Ces résultats ont été validés par une équipe de 44 experts du domaine.","En conclusion, nous avons conçu et implémenté un système de contrôle d'accès biométrique. Notre solution apporte une réponse concrète à la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système.","Dans le cadre de ce mémoire, nous proposons un système de contrôle d'accès biométrique. Face à la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est le prototypage rapide et l'itération continue. La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs. Les expérimentations confirment la viabilité de notre approche avec 83% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 36% sur les métriques clés. Ces résultats ont été validés par une équipe de 44 experts du domaine. En conclusion, nous avons conçu et implémenté un système de contrôle d'accès biométrique. Notre solution apporte une réponse concrète à la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système."
ARCH-0002,Une plateforme de télémédecine avec Flutter et Firebase,IA,2024,Etudiant_0002,Ce travail vise à concevoir et implémenter une plateforme de télémédecine en utilisant Flutter et Firebase. La problématique principale est le coût élevé des solutions existantes sur le marché. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux.,"L'approche méthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se décline en 4 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement.","Les expérimentations confirment la viabilité de notre approche avec 97% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 28% sur les métriques clés. Ces résultats ont été validés par une équipe de 24 experts du domaine.","En conclusion, nous avons conçu et implémenté une plateforme de télémédecine. Notre solution apporte une réponse concrète à le coût élevé des solutions existantes sur le marché. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système.","Ce travail vise à concevoir et implémenter une plateforme de télémédecine en utilisant Flutter et Firebase. La problématique principale est le coût élevé des solutions existantes sur le marché. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. L'approche méthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se décline en 4 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement. Les expérimentations confirment la viabilité de notre approche avec 97% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 28% sur les métriques clés. Ces résultats ont été validés par une équipe de 24 experts du domaine. En conclusion, nous avons conçu et implémenté une plateforme de télémédecine. Notre solution apporte une réponse concrète à le coût élevé des solutions existantes sur le marché. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système."
ARCH-0003,Un système de prédiction du décrochage scolaire avec Django et PostgreSQL,Mobile,2024,Etudiant_0003,L'objectif de cette étude est de résoudre les pertes financières dues aux erreurs humaines grâce à un système de prédiction du décrochage scolaire. Nous utilisons Django et PostgreSQL combiné avec le prototypage rapide et l'itération continue pour atteindre cet objectif.,La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs.,"Notre système a été évalué sur un jeu de données de 2084 enregistrements. Les résultats indiquent une amélioration de 17% par rapport à l'approche classique. Le temps de réponse moyen est de 233ms, ce qui répond aux exigences.","En conclusion, nous avons conçu et implémenté un système de prédiction du décrochage scolaire. Notre solution apporte une réponse concrète à les pertes financières dues aux erreurs humaines. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système.","L'objectif de cette étude est de résoudre les pertes financières dues aux erreurs humaines grâce à un système de prédiction du décrochage scolaire. Nous utilisons Django et PostgreSQL combiné avec le prototypage rapide et l'itération continue pour atteindre cet objectif. La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs. Notre système a été évalué sur un jeu de données de 2084 enregistrements. Les résultats indiquent une amélioration de 17% par rapport à l'approche classique. Le temps de réponse moyen est de 233ms, ce qui répond aux exigences. En conclusion, nous avons conçu et implémenté un système de prédiction du décrochage scolaire. Notre solution apporte une réponse concrète à les pertes financières dues aux erreurs humaines. Les travaux futurs porteront sur l'amélioration des performances et la scalabilité du système."
ARCH-0004,Un système de détection de fraude bancaire avec deep learning et PyTorch,Réseau,2024,Etudiant_0004,Ce travail vise à concevoir et implémenter un système de détection de fraude bancaire en utilisant deep learning et PyTorch. La problématique principale est le manque d'accessibilité aux services dans les zones rurales. Notre approche repose sur une étude de cas approfondie avec données réelles.,"L'approche méthodologique retenue est une étude de cas approfondie avec données réelles. Elle se décline en 5 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement.","Les expérimentations confirment la viabilité de notre approche avec 91% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 33% sur les métriques clés. Ces résultats ont été validés par une équipe de 22 experts du domaine.",Ce mémoire présente un système de détection de fraude bancaire comme solution à le manque d'accessibilité aux services dans les zones rurales. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"Ce travail vise à concevoir et implémenter un système de détection de fraude bancaire en utilisant deep learning et PyTorch. La problématique principale est le manque d'accessibilité aux services dans les zones rurales. Notre approche repose sur une étude de cas approfondie avec données réelles. L'approche méthodologique retenue est une étude de cas approfondie avec données réelles. Elle se décline en 5 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement. Les expérimentations confirment la viabilité de notre approche avec 91% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 33% sur les métriques clés. Ces résultats ont été validés par une équipe de 22 experts du domaine. Ce mémoire présente un système de détection de fraude bancaire comme solution à le manque d'accessibilité aux services dans les zones rurales. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0005,Une application de paiement mobile sécurisée avec React et FastAPI,Mobile,2023,Etudiant_0005,Ce projet de fin d'études porte sur une application de paiement mobile sécurisée. La motivation principale est le coût élevé des solutions existantes sur le marché qui constitue un défi majeur. Nous proposons une solution basée sur React et FastAPI en suivant une approche SCRUM avec des sprints de 2 semaines.,"Pour réaliser ce projet, nous avons adopté SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incréments fonctionnels régulièrement. Le travail a été divisé en 6 itérations de durée égale.","Les expérimentations confirment la viabilité de notre approche avec 91% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 20% sur les métriques clés. Ces résultats ont été validés par une équipe de 33 experts du domaine.",Ce mémoire présente une application de paiement mobile sécurisée comme solution à le coût élevé des solutions existantes sur le marché. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"Ce projet de fin d'études porte sur une application de paiement mobile sécurisée. La motivation principale est le coût élevé des solutions existantes sur le marché qui constitue un défi majeur. Nous proposons une solution basée sur React et FastAPI en suivant une approche SCRUM avec des sprints de 2 semaines. Pour réaliser ce projet, nous avons adopté SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incréments fonctionnels régulièrement. Le travail a été divisé en 6 itérations de durée égale. Les expérimentations confirment la viabilité de notre approche avec 91% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 20% sur les métriques clés. Ces résultats ont été validés par une équipe de 33 experts du domaine. Ce mémoire présente une application de paiement mobile sécurisée comme solution à le coût élevé des solutions existantes sur le marché. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0006,Un système d'archivage intelligent de documents avec React et FastAPI,IoT,2024,Etudiant_0006,"Dans le cadre de ce mémoire, nous proposons un système d'archivage intelligent de documents. Face à la sécurité insuffisante des données personnelles, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est la recherche-action avec participation des utilisateurs finaux.",La méthodologie de développement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structuré le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs.,"Notre système a été évalué sur un jeu de données de 9625 enregistrements. Les résultats indiquent une amélioration de 44% par rapport à l'approche classique. Le temps de réponse moyen est de 162ms, ce qui répond aux exigences.",Ce mémoire présente un système d'archivage intelligent de documents comme solution à la sécurité insuffisante des données personnelles. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"Dans le cadre de ce mémoire, nous proposons un système d'archivage intelligent de documents. Face à la sécurité insuffisante des données personnelles, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est la recherche-action avec participation des utilisateurs finaux. La méthodologie de développement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structuré le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs. Notre système a été évalué sur un jeu de données de 9625 enregistrements. Les résultats indiquent une amélioration de 44% par rapport à l'approche classique. Le temps de réponse moyen est de 162ms, ce qui répond aux exigences. Ce mémoire présente un système d'archivage intelligent de documents comme solution à la sécurité insuffisante des données personnelles. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0007,Un système de prédiction du décrochage scolaire avec Python et TensorFlow,BDD,2021,Etudiant_0007,L'objectif de cette étude est de résoudre le coût élevé des solutions existantes sur le marché grâce à un système de prédiction du décrochage scolaire. Nous utilisons Python et TensorFlow combiné avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif.,"Pour réaliser ce projet, nous avons adopté SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incréments fonctionnels régulièrement. Le travail a été divisé en 5 itérations de durée égale.",Les tests réalisés montrent que notre solution atteint 86% de précision. Les performances obtenues dépassent les solutions existantes de 44%. L'interface utilisateur a été validée par 46 utilisateurs réels.,Ce mémoire présente un système de prédiction du décrochage scolaire comme solution à le coût élevé des solutions existantes sur le marché. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"L'objectif de cette étude est de résoudre le coût élevé des solutions existantes sur le marché grâce à un système de prédiction du décrochage scolaire. Nous utilisons Python et TensorFlow combiné avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. Pour réaliser ce projet, nous avons adopté SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incréments fonctionnels régulièrement. Le travail a été divisé en 5 itérations de durée égale. Les tests réalisés montrent que notre solution atteint 86% de précision. Les performances obtenues dépassent les solutions existantes de 44%. L'interface utilisateur a été validée par 46 utilisateurs réels. Ce mémoire présente un système de prédiction du décrochage scolaire comme solution à le coût élevé des solutions existantes sur le marché. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0008,Un système d'archivage intelligent de documents avec deep learning et PyTorch,Cyber,2022,Etudiant_0008,"Dans le cadre de ce mémoire, nous proposons un système d'archivage intelligent de documents. Face à la sécurité insuffisante des données personnelles, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La méthodologie adoptée est le prototypage rapide et l'itération continue.",La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs.,"Les expérimentations confirment la viabilité de notre approche avec 98% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 28% sur les métriques clés. Ces résultats ont été validés par une équipe de 47 experts du domaine.",Ce travail a permis de développer un système d'archivage intelligent de documents qui répond efficacement à la sécurité insuffisante des données personnelles. Les résultats obtenus sont satisfaisants et ouvrent la voie à des améliorations futures. Les perspectives incluent l'intégration de nouvelles fonctionnalités et l'extension à d'autres contextes.,"Dans le cadre de ce mémoire, nous proposons un système d'archivage intelligent de documents. Face à la sécurité insuffisante des données personnelles, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La méthodologie adoptée est le prototypage rapide et l'itération continue. La méthodologie de développement choisie est le prototypage rapide et l'itération continue. Nous avons structuré le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critères de validation clairs. Les expérimentations confirment la viabilité de notre approche avec 98% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 28% sur les métriques clés. Ces résultats ont été validés par une équipe de 47 experts du domaine. Ce travail a permis de développer un système d'archivage intelligent de documents qui répond efficacement à la sécurité insuffisante des données personnelles. Les résultats obtenus sont satisfaisants et ouvrent la voie à des améliorations futures. Les perspectives incluent l'intégration de nouvelles fonctionnalités et l'extension à d'autres contextes."
ARCH-0009,Un système de vote électronique avec React et FastAPI,BDD,2022,Etudiant_0009,"Dans le cadre de ce mémoire, nous proposons un système de vote électronique. Face à la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est SCRUM avec des sprints de 2 semaines.","L'approche méthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se décline en 4 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement.","Les expérimentations confirment la viabilité de notre approche avec 93% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 34% sur les métriques clés. Ces résultats ont été validés par une équipe de 14 experts du domaine.",Ce mémoire présente un système de vote électronique comme solution à la lenteur des processus manuels actuels. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"Dans le cadre de ce mémoire, nous proposons un système de vote électronique. Face à la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La méthodologie adoptée est SCRUM avec des sprints de 2 semaines. L'approche méthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se décline en 4 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement. Les expérimentations confirment la viabilité de notre approche avec 93% d'efficacité. Comparé aux solutions actuelles, nous observons un gain de 34% sur les métriques clés. Ces résultats ont été validés par une équipe de 14 experts du domaine. Ce mémoire présente un système de vote électronique comme solution à la lenteur des processus manuels actuels. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0010,Une application de paiement mobile sécurisée avec blockchain et smart contracts,Mobile,2022,Etudiant_0010,L'objectif de cette étude est de résoudre la lenteur des processus manuels actuels grâce à une application de paiement mobile sécurisée. Nous utilisons blockchain et smart contracts combiné avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif.,"L'approche méthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se décline en 5 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement.",Les tests réalisés montrent que notre solution atteint 89% de précision. Les performances obtenues dépassent les solutions existantes de 28%. L'interface utilisateur a été validée par 20 utilisateurs réels.,Ce mémoire présente une application de paiement mobile sécurisée comme solution à la lenteur des processus manuels actuels. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine.,"L'objectif de cette étude est de résoudre la lenteur des processus manuels actuels grâce à une application de paiement mobile sécurisée. Nous utilisons blockchain et smart contracts combiné avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. L'approche méthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se décline en 5 grandes étapes : analyse des besoins, conception, implémentation, tests et déploiement. Les tests réalisés montrent que notre solution atteint 89% de précision. Les performances obtenues dépassent les solutions existantes de 28%. L'interface utilisateur a été validée par 20 utilisateurs réels. Ce mémoire présente une application de paiement mobile sécurisée comme solution à la lenteur des processus manuels actuels. Les objectifs fixés au départ ont été atteints. Cette étude constitue une base solide pour de futures recherches dans ce domaine."
