id_soumission,type_reel,source_plagiat,niveau_plagiat,introduction,methodologie,resultats,conclusion,texte_complet
NEW-ORIG-001,ORIGINAL,,aucun,L'objectif de cette tude est de rsoudre le manque d'accessibilit aux services dans les zones rurales grce  un systme de gestion des stocks intelligents. Nous utilisons machine learning et scikit-learn combin avec la recherche exprimentale avec validation empirique pour atteindre cet objectif.,La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Notre systme a t valu sur un jeu de donnes de 7693 enregistrements. Les rsultats indiquent une amlioration de 42% par rapport  l'approche classique. Le temps de rponse moyen est de 493ms, ce qui rpond aux exigences.",Ce travail a permis de dvelopper un systme de gestion des stocks intelligents qui rpond efficacement  le manque d'accessibilit aux services dans les zones rurales. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"L'objectif de cette tude est de rsoudre le manque d'accessibilit aux services dans les zones rurales grce  un systme de gestion des stocks intelligents. Nous utilisons machine learning et scikit-learn combin avec la recherche exprimentale avec validation empirique pour atteindre cet objectif. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 7693 enregistrements. Les rsultats indiquent une amlioration de 42% par rapport  l'approche classique. Le temps de rponse moyen est de 493ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un systme de gestion des stocks intelligents qui rpond efficacement  le manque d'accessibilit aux services dans les zones rurales. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
NEW-ORIG-002,ORIGINAL,,aucun,L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Flutter et Firebase combin avec la recherche-action avec participation des utilisateurs finaux pour atteindre cet objectif.,"L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.",Les tests raliss montrent que notre solution atteint 84% de prcision. Les performances obtenues dpassent les solutions existantes de 40%. L'interface utilisateur a t valide par 23 utilisateurs rels.,Ce travail a permis de dvelopper un systme de prdiction du dcrochage scolaire qui rpond efficacement  le cot lev des solutions existantes sur le march. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Flutter et Firebase combin avec la recherche-action avec participation des utilisateurs finaux pour atteindre cet objectif. L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 6 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 84% de prcision. Les performances obtenues dpassent les solutions existantes de 40%. L'interface utilisateur a t valide par 23 utilisateurs rels. Ce travail a permis de dvelopper un systme de prdiction du dcrochage scolaire qui rpond efficacement  le cot lev des solutions existantes sur le march. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
NEW-ORIG-003,ORIGINAL,,aucun,"Dans le cadre de ce mmoire, nous proposons une application de covoiturage universitaire. Face  l'absence d'outils adapts au contexte africain, nous avons choisi d'utiliser Docker et Kubernetes comme solution principale. La mthodologie adopte est la recherche-action avec participation des utilisateurs finaux.","Pour raliser ce projet, nous avons adopt la recherche-action avec participation des utilisateurs finaux. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale.","Notre systme a t valu sur un jeu de donnes de 2060 enregistrements. Les rsultats indiquent une amlioration de 23% par rapport  l'approche classique. Le temps de rponse moyen est de 119ms, ce qui rpond aux exigences.","En conclusion, nous avons conu et implment une application de covoiturage universitaire. Notre solution apporte une rponse concrte  l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons une application de covoiturage universitaire. Face  l'absence d'outils adapts au contexte africain, nous avons choisi d'utiliser Docker et Kubernetes comme solution principale. La mthodologie adopte est la recherche-action avec participation des utilisateurs finaux. Pour raliser ce projet, nous avons adopt la recherche-action avec participation des utilisateurs finaux. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Notre systme a t valu sur un jeu de donnes de 2060 enregistrements. Les rsultats indiquent une amlioration de 23% par rapport  l'approche classique. Le temps de rponse moyen est de 119ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment une application de covoiturage universitaire. Notre solution apporte une rponse concrte  l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
NEW-ORIG-004,ORIGINAL,,aucun,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  l'absence d'outils adapts au contexte africain, nous avons choisi d'utiliser Python et TensorFlow comme solution principale. La mthodologie adopte est la recherche exprimentale avec validation empirique.",La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Les exprimentations confirment la viabilit de notre approche avec 90% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 41% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 25 experts du domaine.",Ce travail a permis de dvelopper un systme d'archivage intelligent de documents qui rpond efficacement  l'absence d'outils adapts au contexte africain. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  l'absence d'outils adapts au contexte africain, nous avons choisi d'utiliser Python et TensorFlow comme solution principale. La mthodologie adopte est la recherche exprimentale avec validation empirique. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 90% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 41% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 25 experts du domaine. Ce travail a permis de dvelopper un systme d'archivage intelligent de documents qui rpond efficacement  l'absence d'outils adapts au contexte africain. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
NEW-ORIG-005,ORIGINAL,,aucun,Ce projet de fin d'tudes porte sur une application de covoiturage universitaire. La motivation principale est les pertes financires dues aux erreurs humaines qui constitue un dfi majeur. Nous proposons une solution base sur Arduino et Raspberry Pi en suivant une approche une tude de cas approfondie avec donnes relles.,La mthodologie de dveloppement choisie est une tude de cas approfondie avec donnes relles. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Notre systme a t valu sur un jeu de donnes de 6546 enregistrements. Les rsultats indiquent une amlioration de 38% par rapport  l'approche classique. Le temps de rponse moyen est de 282ms, ce qui rpond aux exigences.","En conclusion, nous avons conu et implment une application de covoiturage universitaire. Notre solution apporte une rponse concrte  les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce projet de fin d'tudes porte sur une application de covoiturage universitaire. La motivation principale est les pertes financires dues aux erreurs humaines qui constitue un dfi majeur. Nous proposons une solution base sur Arduino et Raspberry Pi en suivant une approche une tude de cas approfondie avec donnes relles. La mthodologie de dveloppement choisie est une tude de cas approfondie avec donnes relles. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 6546 enregistrements. Les rsultats indiquent une amlioration de 38% par rapport  l'approche classique. Le temps de rponse moyen est de 282ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment une application de covoiturage universitaire. Notre solution apporte une rponse concrte  les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
NEW-ORIG-006,ORIGINAL,,aucun,Ce projet de fin d'tudes porte sur un systme de surveillance de la qualit de l'air. La motivation principale est la lenteur des processus manuels actuels qui constitue un dfi majeur. Nous proposons une solution base sur NLP et transformers BERT en suivant une approche SCRUM avec des sprints de 2 semaines.,"L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.",Les tests raliss montrent que notre solution atteint 97% de prcision. Les performances obtenues dpassent les solutions existantes de 27%. L'interface utilisateur a t valide par 23 utilisateurs rels.,Ce travail a permis de dvelopper un systme de surveillance de la qualit de l'air qui rpond efficacement  la lenteur des processus manuels actuels. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"Ce projet de fin d'tudes porte sur un systme de surveillance de la qualit de l'air. La motivation principale est la lenteur des processus manuels actuels qui constitue un dfi majeur. Nous proposons une solution base sur NLP et transformers BERT en suivant une approche SCRUM avec des sprints de 2 semaines. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 97% de prcision. Les performances obtenues dpassent les solutions existantes de 27%. L'interface utilisateur a t valide par 23 utilisateurs rels. Ce travail a permis de dvelopper un systme de surveillance de la qualit de l'air qui rpond efficacement  la lenteur des processus manuels actuels. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
NEW-ORIG-007,ORIGINAL,,aucun,L'objectif de cette tude est de rsoudre la difficult d'accs aux soins mdicaux grce  un systme de vote lectronique. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif.,"L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.","Les exprimentations confirment la viabilit de notre approche avec 95% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 40% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 31 experts du domaine.",Ce travail a permis de dvelopper un systme de vote lectronique qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"L'objectif de cette tude est de rsoudre la difficult d'accs aux soins mdicaux grce  un systme de vote lectronique. Nous utilisons Arduino et Raspberry Pi combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. L'approche mthodologique retenue est le prototypage rapide et l'itration continue. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 95% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 40% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 31 experts du domaine. Ce travail a permis de dvelopper un systme de vote lectronique qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
NEW-ORIG-008,ORIGINAL,,aucun,"Dans le cadre de ce mmoire, nous proposons un systme de contrle d'accs biomtrique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines.","Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale.",Les tests raliss montrent que notre solution atteint 93% de prcision. Les performances obtenues dpassent les solutions existantes de 21%. L'interface utilisateur a t valide par 18 utilisateurs rels.,"En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons un systme de contrle d'accs biomtrique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les tests raliss montrent que notre solution atteint 93% de prcision. Les performances obtenues dpassent les solutions existantes de 21%. L'interface utilisateur a t valide par 18 utilisateurs rels. En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
NEW-ORIG-009,ORIGINAL,,aucun,L'objectif de cette tude est de rsoudre l'absence d'outils adapts au contexte africain grce  une plateforme de tlmdecine. Nous utilisons Docker et Kubernetes combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif.,"L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.",Les tests raliss montrent que notre solution atteint 92% de prcision. Les performances obtenues dpassent les solutions existantes de 35%. L'interface utilisateur a t valide par 29 utilisateurs rels.,Ce mmoire prsente une plateforme de tlmdecine comme solution  l'absence d'outils adapts au contexte africain. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"L'objectif de cette tude est de rsoudre l'absence d'outils adapts au contexte africain grce  une plateforme de tlmdecine. Nous utilisons Docker et Kubernetes combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 92% de prcision. Les performances obtenues dpassent les solutions existantes de 35%. L'interface utilisateur a t valide par 29 utilisateurs rels. Ce mmoire prsente une plateforme de tlmdecine comme solution  l'absence d'outils adapts au contexte africain. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
NEW-ORIG-010,ORIGINAL,,aucun,Ce projet de fin d'tudes porte sur une plateforme de tlmdecine. La motivation principale est la lenteur des processus manuels actuels qui constitue un dfi majeur. Nous proposons une solution base sur React et FastAPI en suivant une approche la recherche exprimentale avec validation empirique.,La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Les exprimentations confirment la viabilit de notre approche avec 87% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 31% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 38 experts du domaine.",Ce mmoire prsente une plateforme de tlmdecine comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"Ce projet de fin d'tudes porte sur une plateforme de tlmdecine. La motivation principale est la lenteur des processus manuels actuels qui constitue un dfi majeur. Nous proposons une solution base sur React et FastAPI en suivant une approche la recherche exprimentale avec validation empirique. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 87% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 31% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 38 experts du domaine. Ce mmoire prsente une plateforme de tlmdecine comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
