id_memoire,titre,domaine,annee,auteur,introduction,methodologie,resultats,conclusion,texte_complet
ARCH-0001,Un systme de contrle d'accs biomtrique avec React et FastAPI,IA,2018,Etudiant_0001,"Dans le cadre de ce mmoire, nous proposons un systme de contrle d'accs biomtrique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue.",La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Les exprimentations confirment la viabilit de notre approche avec 83% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 36% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 44 experts du domaine.","En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons un systme de contrle d'accs biomtrique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 83% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 36% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 44 experts du domaine. En conclusion, nous avons conu et implment un systme de contrle d'accs biomtrique. Notre solution apporte une rponse concrte  la lenteur des processus manuels actuels. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
ARCH-0002,Une plateforme de tlmdecine avec Flutter et Firebase,IA,2024,Etudiant_0002,Ce travail vise  concevoir et implmenter une plateforme de tlmdecine en utilisant Flutter et Firebase. La problmatique principale est le cot lev des solutions existantes sur le march. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux.,"L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.","Les exprimentations confirment la viabilit de notre approche avec 97% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 24 experts du domaine.","En conclusion, nous avons conu et implment une plateforme de tlmdecine. Notre solution apporte une rponse concrte  le cot lev des solutions existantes sur le march. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce travail vise  concevoir et implmenter une plateforme de tlmdecine en utilisant Flutter et Firebase. La problmatique principale est le cot lev des solutions existantes sur le march. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 97% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 24 experts du domaine. En conclusion, nous avons conu et implment une plateforme de tlmdecine. Notre solution apporte une rponse concrte  le cot lev des solutions existantes sur le march. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
ARCH-0003,Un systme de prdiction du dcrochage scolaire avec Django et PostgreSQL,Mobile,2024,Etudiant_0003,L'objectif de cette tude est de rsoudre les pertes financires dues aux erreurs humaines grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Django et PostgreSQL combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif.,La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Notre systme a t valu sur un jeu de donnes de 2084 enregistrements. Les rsultats indiquent une amlioration de 17% par rapport  l'approche classique. Le temps de rponse moyen est de 233ms, ce qui rpond aux exigences.","En conclusion, nous avons conu et implment un systme de prdiction du dcrochage scolaire. Notre solution apporte une rponse concrte  les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","L'objectif de cette tude est de rsoudre les pertes financires dues aux erreurs humaines grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Django et PostgreSQL combin avec le prototypage rapide et l'itration continue pour atteindre cet objectif. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 2084 enregistrements. Les rsultats indiquent une amlioration de 17% par rapport  l'approche classique. Le temps de rponse moyen est de 233ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un systme de prdiction du dcrochage scolaire. Notre solution apporte une rponse concrte  les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme."
ARCH-0004,Un systme de dtection de fraude bancaire avec deep learning et PyTorch,Rseau,2024,Etudiant_0004,Ce travail vise  concevoir et implmenter un systme de dtection de fraude bancaire en utilisant deep learning et PyTorch. La problmatique principale est le manque d'accessibilit aux services dans les zones rurales. Notre approche repose sur une tude de cas approfondie avec donnes relles.,"L'approche mthodologique retenue est une tude de cas approfondie avec donnes relles. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.","Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 33% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 22 experts du domaine.",Ce mmoire prsente un systme de dtection de fraude bancaire comme solution  le manque d'accessibilit aux services dans les zones rurales. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"Ce travail vise  concevoir et implmenter un systme de dtection de fraude bancaire en utilisant deep learning et PyTorch. La problmatique principale est le manque d'accessibilit aux services dans les zones rurales. Notre approche repose sur une tude de cas approfondie avec donnes relles. L'approche mthodologique retenue est une tude de cas approfondie avec donnes relles. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 33% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 22 experts du domaine. Ce mmoire prsente un systme de dtection de fraude bancaire comme solution  le manque d'accessibilit aux services dans les zones rurales. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0005,Une application de paiement mobile scurise avec React et FastAPI,Mobile,2023,Etudiant_0005,Ce projet de fin d'tudes porte sur une application de paiement mobile scurise. La motivation principale est le cot lev des solutions existantes sur le march qui constitue un dfi majeur. Nous proposons une solution base sur React et FastAPI en suivant une approche SCRUM avec des sprints de 2 semaines.,"Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale.","Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 20% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 33 experts du domaine.",Ce mmoire prsente une application de paiement mobile scurise comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"Ce projet de fin d'tudes porte sur une application de paiement mobile scurise. La motivation principale est le cot lev des solutions existantes sur le march qui constitue un dfi majeur. Nous proposons une solution base sur React et FastAPI en suivant une approche SCRUM avec des sprints de 2 semaines. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 20% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 33 experts du domaine. Ce mmoire prsente une application de paiement mobile scurise comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0006,Un systme d'archivage intelligent de documents avec React et FastAPI,IoT,2024,Etudiant_0006,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  la scurit insuffisante des donnes personnelles, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est la recherche-action avec participation des utilisateurs finaux.",La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Notre systme a t valu sur un jeu de donnes de 9625 enregistrements. Les rsultats indiquent une amlioration de 44% par rapport  l'approche classique. Le temps de rponse moyen est de 162ms, ce qui rpond aux exigences.",Ce mmoire prsente un systme d'archivage intelligent de documents comme solution  la scurit insuffisante des donnes personnelles. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  la scurit insuffisante des donnes personnelles, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 9625 enregistrements. Les rsultats indiquent une amlioration de 44% par rapport  l'approche classique. Le temps de rponse moyen est de 162ms, ce qui rpond aux exigences. Ce mmoire prsente un systme d'archivage intelligent de documents comme solution  la scurit insuffisante des donnes personnelles. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0007,Un systme de prdiction du dcrochage scolaire avec Python et TensorFlow,BDD,2021,Etudiant_0007,L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Python et TensorFlow combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif.,"Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale.",Les tests raliss montrent que notre solution atteint 86% de prcision. Les performances obtenues dpassent les solutions existantes de 44%. L'interface utilisateur a t valide par 46 utilisateurs rels.,Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"L'objectif de cette tude est de rsoudre le cot lev des solutions existantes sur le march grce  un systme de prdiction du dcrochage scolaire. Nous utilisons Python et TensorFlow combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt SCRUM avec des sprints de 2 semaines. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Les tests raliss montrent que notre solution atteint 86% de prcision. Les performances obtenues dpassent les solutions existantes de 44%. L'interface utilisateur a t valide par 46 utilisateurs rels. Ce mmoire prsente un systme de prdiction du dcrochage scolaire comme solution  le cot lev des solutions existantes sur le march. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0008,Un systme d'archivage intelligent de documents avec deep learning et PyTorch,Cyber,2022,Etudiant_0008,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  la scurit insuffisante des donnes personnelles, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue.",La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs.,"Les exprimentations confirment la viabilit de notre approche avec 98% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 47 experts du domaine.",Ce travail a permis de dvelopper un systme d'archivage intelligent de documents qui rpond efficacement  la scurit insuffisante des donnes personnelles. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.,"Dans le cadre de ce mmoire, nous proposons un systme d'archivage intelligent de documents. Face  la scurit insuffisante des donnes personnelles, nous avons choisi d'utiliser deep learning et PyTorch comme solution principale. La mthodologie adopte est le prototypage rapide et l'itration continue. La mthodologie de dveloppement choisie est le prototypage rapide et l'itration continue. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 98% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 28% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 47 experts du domaine. Ce travail a permis de dvelopper un systme d'archivage intelligent de documents qui rpond efficacement  la scurit insuffisante des donnes personnelles. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes."
ARCH-0009,Un systme de vote lectronique avec React et FastAPI,BDD,2022,Etudiant_0009,"Dans le cadre de ce mmoire, nous proposons un systme de vote lectronique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines.","L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.","Les exprimentations confirment la viabilit de notre approche avec 93% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 34% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 14 experts du domaine.",Ce mmoire prsente un systme de vote lectronique comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"Dans le cadre de ce mmoire, nous proposons un systme de vote lectronique. Face  la lenteur des processus manuels actuels, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 93% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 34% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 14 experts du domaine. Ce mmoire prsente un systme de vote lectronique comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
ARCH-0010,Une application de paiement mobile scurise avec blockchain et smart contracts,Mobile,2022,Etudiant_0010,L'objectif de cette tude est de rsoudre la lenteur des processus manuels actuels grce  une application de paiement mobile scurise. Nous utilisons blockchain et smart contracts combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif.,"L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement.",Les tests raliss montrent que notre solution atteint 89% de prcision. Les performances obtenues dpassent les solutions existantes de 28%. L'interface utilisateur a t valide par 20 utilisateurs rels.,Ce mmoire prsente une application de paiement mobile scurise comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,"L'objectif de cette tude est de rsoudre la lenteur des processus manuels actuels grce  une application de paiement mobile scurise. Nous utilisons blockchain et smart contracts combin avec SCRUM avec des sprints de 2 semaines pour atteindre cet objectif. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 5 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 89% de prcision. Les performances obtenues dpassent les solutions existantes de 28%. L'interface utilisateur a t valide par 20 utilisateurs rels. Ce mmoire prsente une application de paiement mobile scurise comme solution  la lenteur des processus manuels actuels. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine."
