id_memoire,titre,description,resume,texte_complet,domaine,methodologie,niveau,annee,auteur,directeur,note_soutenance,tags,nb_tags,est_public,cluster_id,cluster_nom,tags_enrichis
MEM-0001,Plateforme de gestion des stages universitaires,"Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises.","Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.","Plateforme de gestion des stages universitaires. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Application full-stack React/FastAPI permettant aux tudiants de postuler aux stages, aux entreprises de publier des offres et  l'universit de suivre les conventions. Dploye sur 3 universits togolaises. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Dveloppement Web.",Dveloppement Web,Recherche-action,Master 1,2019,Etudiant_0001,Dr. Professeur_01,15.9,afrique|django|fastapi|postgresql|react,5,0,3,Dveloppement Web,afrique|aux|django|fastapi|fastapi permettant|offres|postgresql|postuler|react|stages
MEM-0002,Rseau WiFi communautaire  faible cot,"Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march.","Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.","Rseau WiFi communautaire  faible cot. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de mobile money. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.",Rseaux,Prototypage rapide,Master 2,2018,Etudiant_0002,Dr. Professeur_05,14.49,afrique|cisco|ns3|protocole|qos|tcp-ip,6,1,5,Rseaux,2km|2km 120|afrique|cisco|cot|ns3|protocole|qos|simultanment|tcp-ip|wifi
MEM-0003,Systme de recommandation de cours personnaliss,Nous dveloppons un moteur de recommandation hybride combinant filtrage collaboratif et content-based pour personnaliser les parcours d'apprentissage en ligne. L'valuation montre 87% de pertinence sur des donnes relles.,Nous dveloppons un moteur de recommandation hybride combinant filtrage collaboratif et content-based pour personnaliser les parcours d'apprentissage en ligne. L'valuation montre 87% de pertinence sur des donnes relles. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de IA / Machine Learning.,Systme de recommandation de cours personnaliss. Nous dveloppons un moteur de recommandation hybride combinant filtrage collaboratif et content-based pour personnaliser les parcours d'apprentissage en ligne. L'valuation montre 87% de pertinence sur des donnes relles. Nous dveloppons un moteur de recommandation hybride combinant filtrage collaboratif et content-based pour personnaliser les parcours d'apprentissage en ligne. L'valuation montre 87% de pertinence sur des donnes relles. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de IA / Machine Learning.,IA / Machine Learning,Recherche-action,Master 1,2020,Etudiant_0003,Dr. Professeur_06,13.8,deep-learning|machine-learning|nlp|prediction,4,1,7,Mobile,de recommandation|deep-learning|ligne valuation|machine-learning|nlp|parcours|prediction|recommandation|sur des
MEM-0004,Application de paiement mobile pour petits commerants,App Android permettant aux commerants informels d'accepter les paiements digitaux via NFC et QR code. Intgration mobile money. 500 commerants pilotes dans 3 marchs de Lom.,App Android permettant aux commerants informels d'accepter les paiements digitaux via NFC et QR code. Intgration mobile money. 500 commerants pilotes dans 3 marchs de Lom. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.,Application de paiement mobile pour petits commerants. App Android permettant aux commerants informels d'accepter les paiements digitaux via NFC et QR code. Intgration mobile money. 500 commerants pilotes dans 3 marchs de Lom. App Android permettant aux commerants informels d'accepter les paiements digitaux via NFC et QR code. Intgration mobile money. 500 commerants pilotes dans 3 marchs de Lom. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.,Mobile,Recherche-action,Master 1,2022,Etudiant_0004,Dr. Professeur_10,18.29,afrique|android|offline|react-native,4,1,2,Cyberscurit,500 commerants|afrique|android|commerants|marchs|marchs de|offline|qr code|react-native
MEM-0005,Contrle d'accs biomtrique  faible cot,Systme de contrle d'accs par empreinte digitale et reconnaissance faciale pour scuriser des locaux  budget limit. Cot matriel sous 50 000 FCFA. Dploy dans 3 tablissements scolaires.,Systme de contrle d'accs par empreinte digitale et reconnaissance faciale pour scuriser des locaux  budget limit. Cot matriel sous 50 000 FCFA. Dploy dans 3 tablissements scolaires. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Systmes Embarqus.,Contrle d'accs biomtrique  faible cot. Systme de contrle d'accs par empreinte digitale et reconnaissance faciale pour scuriser des locaux  budget limit. Cot matriel sous 50 000 FCFA. Dploy dans 3 tablissements scolaires. Systme de contrle d'accs par empreinte digitale et reconnaissance faciale pour scuriser des locaux  budget limit. Cot matriel sous 50 000 FCFA. Dploy dans 3 tablissements scolaires. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Systmes Embarqus.,Systmes Embarqus,Recherche exprimentale,Master 2,2018,Etudiant_0005,Dr. Professeur_14,18.55,capteurs|energie|iot,3,1,0,Systmes Embarqus,accs|accs par|capteurs|contrle|contrle accs|cot|energie|iot
MEM-0006,Golocalisation des transports en commun  Lom,Systme de suivi temps rel des bus et taxis-motos avec application mobile passager et dashboard chauffeur. Architecture microservices avec WebSockets pour les mises  jour en temps rel.,Systme de suivi temps rel des bus et taxis-motos avec application mobile passager et dashboard chauffeur. Architecture microservices avec WebSockets pour les mises  jour en temps rel. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.,Golocalisation des transports en commun  Lom. Systme de suivi temps rel des bus et taxis-motos avec application mobile passager et dashboard chauffeur. Architecture microservices avec WebSockets pour les mises  jour en temps rel. Systme de suivi temps rel des bus et taxis-motos avec application mobile passager et dashboard chauffeur. Architecture microservices avec WebSockets pour les mises  jour en temps rel. Ce travail s'inscrit dans le contexte de Afrique de l'Ouest. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.,Mobile,Recherche-action,Master 1,2019,Etudiant_0006,Dr. Professeur_03,16.09,afrique|flutter|geolocalisation|kotlin|microservices|ux,6,1,3,Dveloppement Web,afrique|flutter|geolocalisation|kotlin|microservices|motos avec|passager et|rel|temps rel|ux|websockets pour
MEM-0007,Rseau WiFi communautaire  faible cot,"Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march.","Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est tude de cas. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.","Rseau WiFi communautaire  faible cot. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Conception et dploiement d'une infrastructure WiFi dans un quartier de Lom avec quipements open source (OpenWRT). Couverture de 2km, 120 utilisateurs connects simultanment, cot 40% infrieur au march. Ce travail s'inscrit dans le contexte de Togo. La mthodologie adopte est tude de cas. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.",Rseaux,tude de cas,Master 1,2020,Etudiant_0007,Dr. Professeur_07,18.05,4g|afrique|cisco|iot|qos|wifi,6,1,5,Rseaux,4g|afrique|cisco|cot|iot|openwrt|openwrt couverture|qos|quartier de|wifi
MEM-0008,Architecture rseau IoT pour smart city,"Conception d'une infrastructure de capteurs connects pour la gestion intelligente des feux de circulation, de l'clairage public et des dchets dans une ville de taille moyenne.","Conception d'une infrastructure de capteurs connects pour la gestion intelligente des feux de circulation, de l'clairage public et des dchets dans une ville de taille moyenne. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.","Architecture rseau IoT pour smart city. Conception d'une infrastructure de capteurs connects pour la gestion intelligente des feux de circulation, de l'clairage public et des dchets dans une ville de taille moyenne. Conception d'une infrastructure de capteurs connects pour la gestion intelligente des feux de circulation, de l'clairage public et des dchets dans une ville de taille moyenne. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche-action. Les rsultats obtenus constituent une contribution significative au domaine de Rseaux.",Rseaux,Recherche-action,Master 1,2019,Etudiant_0008,Dr. Professeur_12,11.4,4g|cisco|iot|ns3|protocole|qos,6,1,5,Rseaux,4g|cisco|de circulation|de clairage|de taille|iot|ns3|protocole|qos|une ville|ville
MEM-0009,Application de suivi de grossesse pour zones rurales,"App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies.","App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.","Application de suivi de grossesse pour zones rurales. App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. App mobile hors-ligne pour le suivi mdical des femmes enceintes sans connexion internet. Synchronisation diffre des donnes. Dploye dans 12 centres de sant ruraux, 800 femmes suivies. Ce travail s'inscrit dans le contexte de PME africaine. La mthodologie adopte est Prototypage rapide. Les rsultats obtenus constituent une contribution significative au domaine de Mobile.",Mobile,Prototypage rapide,Master 1,2022,Etudiant_0009,Dr. Professeur_01,10.91,flutter|geolocalisation|offline|react-native,4,1,7,Mobile,12|12 centres|app mobile|femmes|flutter|geolocalisation|offline|react-native|suivi
MEM-0010,Scurisation des applications mobile banking,Analyse des vulnrabilits des applications de paiement mobile au Togo selon OWASP Mobile Top 10. Implmentation des contre-mesures et chiffrement end-to-end des transactions.,Analyse des vulnrabilits des applications de paiement mobile au Togo selon OWASP Mobile Top 10. Implmentation des contre-mesures et chiffrement end-to-end des transactions. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Cyberscurit.,Scurisation des applications mobile banking. Analyse des vulnrabilits des applications de paiement mobile au Togo selon OWASP Mobile Top 10. Implmentation des contre-mesures et chiffrement end-to-end des transactions. Analyse des vulnrabilits des applications de paiement mobile au Togo selon OWASP Mobile Top 10. Implmentation des contre-mesures et chiffrement end-to-end des transactions. Ce travail s'inscrit dans le contexte de langues locales. La mthodologie adopte est Recherche exprimentale. Les rsultats obtenus constituent une contribution significative au domaine de Cyberscurit.,Cyberscurit,Recherche exprimentale,Master 2,2021,Etudiant_0010,Dr. Professeur_14,19.71,afrique|audit|cryptographie|forensics|intrusion|siem,6,1,2,Cyberscurit,afrique|applications|audit|cryptographie|des|des applications|end|forensics|intrusion|mobile|siem
