id_paire,texte_a,texte_b,categorie_similarite,score_similarite
PAIR-00092,"Ce projet de fin d'tudes porte sur une plateforme de gestion des ressources humaines. La motivation principale est le manque d'accessibilit aux services dans les zones rurales qui constitue un dfi majeur. Nous proposons une solution base sur machine learning et scikit-learn en suivant une approche le prototypage rapide et l'itration continue. Pour raliser ce projet, nous avons adopt le prototypage rapide et l'itration continue. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les exprimentations confirment la viabilit de notre approche avec 81% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 34% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 14 experts du domaine. Ce mmoire prsente une plateforme de gestion des ressources humaines comme solution  le manque d'accessibilit aux services dans les zones rurales. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.","Ce projet de fin d'tudes porte sur une plateforme de tlmdecine. La motivation principale est la scurit insuffisante des donnes personnelles qui constitue un dfi majeur. Nous proposons une solution base sur Django et PostgreSQL en suivant une approche la recherche exprimentale avec validation empirique. L'approche mthodologique retenue est la recherche exprimentale avec validation empirique. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 86% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 17% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 36 experts du domaine. Ce mmoire prsente une plateforme de tlmdecine comme solution  la scurit insuffisante des donnes personnelles. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.",ORIGINAL,0.031
PAIR-00130,"Ce projet de fin d'tudes porte sur un outil d'analyse de sentiment sur les rseaux sociaux. La motivation principale est la difficult d'accs aux soins mdicaux qui constitue un dfi majeur. Nous proposons une solution base sur deep learning et PyTorch en suivant une approche SCRUM avec des sprints de 2 semaines. La mthodologie de dveloppement choisie est SCRUM avec des sprints de 2 semaines. Nous avons structur le travail en 6 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les exprimentations confirment la viabilit de notre approche avec 91% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 22% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 34 experts du domaine. Ce travail a permis de dvelopper un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","Ce travail vise  concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Docker et Kubernetes. La problmatique principale est la scurit insuffisante des donnes personnelles. Notre approche repose sur le prototypage rapide et l'itration continue. Pour raliser ce projet, nous avons adopt le prototypage rapide et l'itration continue. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 3 itrations de dure gale. Notre systme a t valu sur un jeu de donnes de 8349 enregistrements. Les rsultats indiquent une amlioration de 35% par rapport  l'approche classique. Le temps de rponse moyen est de 159ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement  la scurit insuffisante des donnes personnelles. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.",ORIGINAL,0.157
PAIR-00619,"L'objectif de cette tude est de rsoudre la difficult d'accs aux soins mdicaux grce  une plateforme de tlmdecine. Nous utilisons deep learning et PyTorch combin avec la recherche exprimentale avec validation empirique pour atteindre cet objectif. Pour raliser ce projet, nous avons adopt la recherche exprimentale avec validation empirique. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les tests raliss montrent que notre solution atteint 98% de prcision. Les performances obtenues dpassent les solutions existantes de 42%. L'interface utilisateur a t valide par 24 utilisateurs rels. En conclusion, nous avons conu et implment une plateforme de tlmdecine. Notre solution apporte une rponse concrte  la difficult d'accs aux soins mdicaux. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","L'objectif de cette tude est de rsoudre la difficult d'accs aux soins mdicaux grce une systme de tlmdecine. Nous utilisons deep learning et PyTorch combin avec la recherche exprimentale avec validation empirique pour atteindre cet but Pour raliser ce projet, nous avons adopt la recherche exprimentale avec validation empirique. Cette mthode nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 6 itrations de dure gale. Les tests raliss montrent que notre rponse atteint 98% de prcision. Les performances obtenues dpassent les solutions existantes de 42%. L'interface utilisateur a t valide par 24 utilisateurs finaux rels. En conclusion, nous avons conu et implment une systme de tlmdecine. Notre rponse apporte une rponse concrte la difficult d'accs aux soins mdicaux. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du outil",PLAGIAT_TOTAL,0.826
PAIR-00398,"Ce travail vise  concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La problmatique principale est la lenteur des processus manuels actuels. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 7265 enregistrements. Les rsultats indiquent une amlioration de 28% par rapport  l'approche classique. Le temps de rponse moyen est de 403ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement  la lenteur des processus manuels actuels. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","Ce travail vise concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant Flutter et Firebase. La problmatique principale est la lenteur des processus manuels actuels. Notre mthode repose sur la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 3 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 7265 enregistrements. Les rsultats indiquent une amlioration de 28% par rapport l'approche classique. Le temps de rponse moyen est de 403ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un outil d'analyse de sentiment sur les rseaux sociaux qui rpond efficacement la lenteur des processus manuels actuels. Les rsultats obtenus sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.",SIMILAIRE,0.203
PAIR-00681,"Ce travail vise  concevoir et implmenter un systme de prdiction du dcrochage scolaire en utilisant Docker et Kubernetes. La problmatique principale est la difficult d'accs aux soins mdicaux. Notre approche repose sur une tude de cas approfondie avec donnes relles. L'approche mthodologique retenue est une tude de cas approfondie avec donnes relles. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre approche avec 94% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 45% sur les mtriques cls. Ces rsultats ont t valids par une quipe de 33 experts du domaine. Ce travail a permis de dvelopper un systme de prdiction du dcrochage scolaire qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","Ce travail vise concevoir et raliser un outil de prdiction du dcrochage scolaire en employant Docker et Kubernetes. La challenge principale est la difficult d'accs aux soins mdicaux. Notre mthode repose sur une tude de cas approfondie avec informations relles. L'approche mthodologique retenue est une tude de cas approfondie avec donnes relles. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les exprimentations confirment la viabilit de notre mthode avec 94% d'efficacit. Compar aux solutions actuelles, nous observons un gain de 45% sur les mtriques cls. Ces performances ont t valids par une quipe de 33 experts du domaine. Ce travail a permis de construire un outil de prdiction du dcrochage scolaire qui rpond efficacement la difficult d'accs aux soins mdicaux. Les performances acquis sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.",PLAGIAT_TOTAL,0.98
PAIR-00102,"Dans le cadre de ce mmoire, nous proposons un systme de gestion des stocks intelligents. Face  la difficult d'accs aux soins mdicaux, nous avons choisi d'utiliser React et FastAPI comme solution principale. La mthodologie adopte est SCRUM avec des sprints de 2 semaines. L'approche mthodologique retenue est SCRUM avec des sprints de 2 semaines. Elle se dcline en 4 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Les tests raliss montrent que notre solution atteint 82% de prcision. Les performances obtenues dpassent les solutions existantes de 37%. L'interface utilisateur a t valide par 50 utilisateurs rels. Ce travail a permis de dvelopper un systme de gestion des stocks intelligents qui rpond efficacement  la difficult d'accs aux soins mdicaux. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","L'objectif de cette tude est de rsoudre l'absence d'outils adapts au contexte africain grce  un chatbot d'assistance mdicale. Nous utilisons Flutter et Firebase combin avec la recherche exprimentale avec validation empirique pour atteindre cet objectif. La mthodologie de dveloppement choisie est la recherche exprimentale avec validation empirique. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Notre systme a t valu sur un jeu de donnes de 9400 enregistrements. Les rsultats indiquent une amlioration de 20% par rapport  l'approche classique. Le temps de rponse moyen est de 410ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un chatbot d'assistance mdicale. Notre solution apporte une rponse concrte  l'absence d'outils adapts au contexte africain. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",ORIGINAL,0.085
PAIR-00592,"Ce travail vise  concevoir et implmenter un systme de vote lectronique en utilisant NLP et transformers BERT. La problmatique principale est le manque de traabilit dans les processus administratifs. Notre approche repose sur la recherche-action avec participation des utilisateurs finaux. L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux. Elle se dcline en 3 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de donnes de 9380 enregistrements. Les rsultats indiquent une amlioration de 41% par rapport  l'approche classique. Le temps de rponse moyen est de 471ms, ce qui rpond aux exigences. Ce travail a permis de dvelopper un systme de vote lectronique qui rpond efficacement  le manque de traabilit dans les processus administratifs. Les rsultats obtenus sont satisfaisants et ouvrent la voie  des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension  d'autres contextes.","Ce travail vise concevoir et implmenter un outil de vote lectronique en employant NLP et transformers BERT. La problmatique principale est le manque de traabilit dans les processus administratifs. Notre mthode repose sur la recherche-action avec participation des utilisateurs finaux. L'approche mthodologique retenue est la recherche-action avec participation des utilisateurs finaux finaux. Elle se dcline en 3 grandes tapes : analyse des besoins, conception, implmentation, tests et dploiement. Notre systme a t valu sur un jeu de donnes de 9380 enregistrements. Les rsultats indiquent une amlioration de 41% par rapport l'approche classique. Le temps de rponse moyen est de 471ms, ce qui rpond aux exigences. Ce travail a permis de construire un outil de vote lectronique qui rpond efficacement le manque de traabilit dans les processus administratifs. Les performances obtenus sont satisfaisants et ouvrent la voie des amliorations futures. Les perspectives incluent l'intgration de nouvelles fonctionnalits et l'extension d'autres contextes.",PLAGIAT_PARTIEL,0.76
PAIR-00416,"Dans le cadre de ce mmoire, nous proposons un chatbot d'assistance mdicale. Face  les pertes financires dues aux erreurs humaines, nous avons choisi d'utiliser Django et PostgreSQL comme solution principale. La mthodologie adopte est la recherche exprimentale avec validation empirique. Pour raliser ce projet, nous avons adopt la recherche exprimentale avec validation empirique. Cette approche nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Notre systme a t valu sur un jeu de donnes de 3239 enregistrements. Les rsultats indiquent une amlioration de 19% par rapport  l'approche classique. Le temps de rponse moyen est de 272ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un chatbot d'assistance mdicale. Notre solution apporte une rponse concrte  les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Dans le cadre de ce mmoire, nous proposons un chatbot d'assistance mdicale. Face les pertes financires dues aux erreurs humaines, nous avons choisi d'utiliser Django et PostgreSQL comme solution principale. La mthodologie adopte est la recherche exprimentale avec validation empirique. Pour raliser ce projet, nous avons adopt la recherche exprimentale avec validation empirique. Cette mthode nous permet de livrer des incrments fonctionnels rgulirement. Le travail a t divis en 5 itrations de dure gale. Notre systme a t valu sur un jeu de donnes de 3239 enregistrements. Les rsultats indiquent une amlioration de 19% par rapport l'approche classique. Le temps de rponse moyen est de 272ms, ce qui rpond aux exigences. En conclusion, nous avons conu et implment un chatbot d'assistance mdicale. Notre rponse apporte une rponse concrte les pertes financires dues aux erreurs humaines. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.",SIMILAIRE,0.432
PAIR-00629,"Ce travail vise  concevoir et implmenter un outil d'analyse de sentiment sur les rseaux sociaux en utilisant blockchain et smart contracts. La problmatique principale est le manque d'accessibilit aux services dans les zones rurales. Notre approche repose sur SCRUM avec des sprints de 2 semaines. La mthodologie de dveloppement choisie est SCRUM avec des sprints de 2 semaines. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 93% de prcision. Les performances obtenues dpassent les solutions existantes de 30%. L'interface utilisateur a t valide par 40 utilisateurs rels. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte  le manque d'accessibilit aux services dans les zones rurales. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du systme.","Ce travail vise dvelopper et raliser un outil d'analyse de sentiment sur les rseaux sociaux en employant blockchain et smart contracts. La challenge principale est le manque d'accessibilit aux services dans les zones rurales. Notre mthode repose sur SCRUM avec des sprints de 2 semaines. La mthodologie de dveloppement choisie est SCRUM avec des sprints de 2 semaines. Nous avons structur le travail en 4 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre rponse atteint 93% de prcision. Les performances obtenues dpassent les solutions existantes de 30%. L'interface utilisateur a t valide par 40 utilisateurs finaux rels. En conclusion, nous avons conu et implment un outil d'analyse de sentiment sur les rseaux sociaux. Notre solution apporte une rponse concrte le manque d'accessibilit aux services dans les zones rurales. Les travaux futurs porteront sur l'amlioration des performances et la scalabilit du outil",PLAGIAT_TOTAL,0.911
PAIR-00562,Ce projet de fin d'tudes porte sur une application de paiement mobile scurise. La motivation principale est la scurit insuffisante des donnes personnelles qui constitue un dfi majeur. Nous proposons une solution base sur Flutter et Firebase en suivant une approche la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss montrent que notre solution atteint 89% de prcision. Les performances obtenues dpassent les solutions existantes de 18%. L'interface utilisateur a t valide par 13 utilisateurs rels. Ce mmoire prsente une application de paiement mobile scurise comme solution  la scurit insuffisante des donnes personnelles. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,Ce projet de fin d'tudes porte sur une logiciel de paiement mobile scurise. La motivation principale est la scurit insuffisante des informations personnelles qui constitue un dfi majeur. Nous proposons une solution base sur Flutter et Firebase en suivant une mthode la recherche-action avec participation des utilisateurs finaux. La mthodologie de dveloppement choisie est la recherche-action avec participation des utilisateurs finaux finaux. Nous avons structur le travail en 5 phases distinctes. Chaque phase comprend des livrables mesurables et des critres de validation clairs. Les tests raliss indiquent que notre rponse atteint 89% de prcision. Les performances obtenues dpassent les solutions existantes de 18%. L'interface utilisateur a t valide par 13 utilisateurs finaux rels. Ce mmoire prsente une application de paiement mobile scurise comme rponse la scurit insuffisante des informations personnelles. Les objectifs fixs au dpart ont t atteints. Cette tude constitue une base solide pour de futures recherches dans ce domaine.,PLAGIAT_PARTIEL,0.45
